Identifier	Drug Name	SMILES	Evidence	Experimental evidence	MoA code	Potential MoA	Annotator	Reference	Reference (2)	Reference (3)	Reference (4)
cov011	Carvedilol	COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O	1	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	5	Immunomodulatory	Patrick	https://www.nature.com/articles/s41421-020-0153-3			
cov012	Colchicine	CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC	1	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3			
cov013	Camphor	CC1(C2CCC1(C(=O)C2)C)C	1	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	2	Viral entry	Patrick	https://www.nature.com/articles/s41421-020-0153-3			
cov014	Equilin	C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)O)[C@@H]1CCC2=O	1	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	2	Viral entry	Patrick	https://www.nature.com/articles/s41421-020-0153-3			
cov015	Oxymetholone	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(C/C(=C/O)/C(=O)C4)C	1	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3			
cov016	Emodin	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O	1	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3			
cov017	Sirolimus + Dactinomycin		1	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3			
cov018	Toremifene + Emodin		1	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3			
cov019	Mercaptopurine + Melatonin		1	None, it´s a computational repurposing strategy based on PPI networks (human and host-pathogen) and CoV-induced transcriptional changes. However, several of the drugs proposed have shown some level of effectiveness against other human viruses (Table 1).	0	Unknown	Patrick	https://www.nature.com/articles/s41421-020-0153-3			
cov020	6-fluoro-3-hydroxy-2-pyrazinecarboxamide	C1=C(N=C(C(=O)N1)C(=O)N)F	4	Developed as antiinfluenza	4	RNA transcription or replication	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/28769016	https://www.dailysabah.com/life/health/japanese-drug-favipiravir-proving-effective-against-covid-19-in-as-little-as-4-days		
cov021	GS-5734	CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4	4	Decreases monkey infection by MERS-CoV	4	RNA transcription or replication	Miquel/Gemma	https://www.pnas.org/content/early/2020/02/12/1922083117	https://www.nature.com/articles/s41422-020-0282-0?fbclid=IwAR1DeWaS1w2LD3MrW		
cov022	Toremifene citrate	CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3	2	Effective against SARS-CoV MERS-CoV in vitro / inhibits EVOB entry in cells / identified in network screening	2	Viral entry	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/	https://stm.sciencemag.org/content/5/190/190ra79	https://www.nature.com/articles/s41421-020-0153-3	
cov023	Chloroquine diphosphate	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O	4	Anti SARS-CoV and MERS-CoV in vitro	2	Viral entry	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136071	https://www.sciencedirect.com/science/article/pii/S0883944120303907	https://www.ncbi.nlm.nih.gov/pubmed/32074550	
cov024	Loperamide	CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4	2	Anti SARS-CoV and MERS-CoV in vitro	0	Unknown	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5733787/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136071/		
cov025	Used for MERS clinically / No effect in clinical trial for Covid19	CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O	-1	Anti SARS-CoV and MERS-CoV in vitro / NO EFFECT IN CLINICAL TRIAL	0	Unknown	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136071/	https://www.nejm.org/doi/full/10.1056/NEJMoa2001282		
cov026	Chlorpromazine hydrochloride	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl	2	Effective against SARS-CoV and MERS-CoV in vitro	2	Viral entry	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136071/		
cov027	Triflupromazine hydrochloride	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F	2	Effective against SARS-CoV and MERS-CoV in vitro	2	Viral entry	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/			
cov028	Imatinib mesylate	CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O	2	Effective against SARS-CoV and MERS-CoV in vitro	1	Host factor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/	https://jvi.asm.org/content/90/19/8924		
cov029	Dasatinib	CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO	2	Effective against SARS-CoV and MERS-CoV in vitro	1	Host factor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/			
cov030	Gemcitabine hydrochloride	C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl	2	Effective against SARS-CoV and MERS-CoV in vitro	1	Host factor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/			
cov031	Equilin	C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)O)[C@@H]1CCC2=O	2	inhibits EVOB entry in cells / identified in network screening	2	Viral entry	Miquel/Gemma	https://stm.sciencemag.org/content/5/190/190ra79	https://www.nature.com/articles/s41421-020-0153-3		
cov032	Irbesartan	CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5	2	identified in network screening	2	Viral entry	Miquel/Gemma	https://www.nature.com/articles/s41421-020-0153-3			
cov033	Sirolimus	C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC	3	MERS-CoV 60% decreased infection in vitro / improved clinical outcome H1N1	5	Immunomodulatory	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5733787	https://www.ncbi.nlm.nih.gov/pubmed/24105455		
cov034	Melatonin	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC	2	Prolongs survival due to anti inflammation (not virus related)	5	Immunomodulatory	Miquel/Gemma	https://www.nature.com/articles/s41421-020-0153-3			
cov035	Eplerenone	C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC	2	Prolongs survival, tested in viral myocarditis in mice	5	Immunomodulatory	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/19213804			
cov036	Teicoplanin	CCCCCCCCCC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC2=C3C=C4C=C2OC5=C(C=C(C=C5)[C@H]([C@H]6C(=O)N[C@@H](C7=C(C(=CC(=C7)O)OC8[C@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C9=C(C=CC(=C9)[C@H](C(=O)N6)NC(=O)[C@@H]4NC(=O)[C@@H]1C2=CC(=CC(=C2)OC2=C(C=CC(=C2)[C@H](C(=O)N[C@H](CC2=CC(=C(O3)C=C2)Cl)C(=O)N1)N)O)O)O)C(=O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)NC(=O)C)Cl)CO)O)O	2	Blocks cell entry of Covid-19 in vitro	2	Viral entry	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.02.05.935387v1.abstract	https://www.ncbi.nlm.nih.gov/pubmed/30170320		
cov037	Ribavirin	C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N	4	Combined with IFNalpha improves MERS-Cov	4	RNA transcription or replication	Miquel/Gemma	https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(14)70920-X/fulltext			
cov038	Penciclovir	C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N	3	Used in Herpex treatment	4	RNA transcription or replication	Miquel/Gemma	https://pubchem.ncbi.nlm.nih.gov/compound/Penciclovir			
cov039	Galidesivir	C1=C(C2=C(N1)C(=NC=N2)N)[C@H]3[C@@H]([C@@H]([C@H](N3)CO)O)O	2	High efficacy in vitro for filoviruses, under clinical trials	4	RNA transcription or replication	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/24590073			
cov040	Disulfiram	CCN(CC)C(=S)SSC(=S)N(CC)CC	2	In vitro inhibition of SARS and MERS enzymes	3	Protease inhibitor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/29289665			
cov041	Ritonavir	CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O	-1	Used for MERS clinically / No effect in clinical trial for Covid19	3	Protease inhibitor	Miquel/Gemma	https://www.nejm.org/doi/full/10.1056/NEJMoa2001282	https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-019-3846-x	https://www.medrxiv.org/content/10.1101/2020.03.19.20038984v1	https://www.medrxiv.org/content/10.1101/2020.03.22.20040832v2
cov042	Darunavir	CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N	3	Not clear if clinical trial ongoing	3	Protease inhibitor	Miquel/Gemma	https://www.pharmaceutical-technology.com/news/jj-janssen-darunavir-coronavirus/			
cov043	Favilavir	C1=C(N=C(C(=O)N1)C(=O)N)F	4		4	RNA transcription or replication	Miquel/Gemma	https://www.upi.com/Health_News/2020/02/17/China-approves-antiviral-favilavir-to-treat-coronavirus/5291581953892/			
cov044	Oseltamivir	CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)OCC	4	Ongoing trial, used for influenza A and B	0	Unknown	Miquel/Gemma	https://laegemiddelstyrelsen.dk/da/nyheder/temaer/ny-coronavirus-covid-19/~/media/5B83D25935DF43A38FF823E24604AC36.ashx			
cov045	ASC09F		4	Ongoing trial in combination with oseltamivir	3	Protease inhibitor	Miquel/Gemma				
cov046	Nafamostat	C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N	2	potent inhibitor of MERS-CoV, which prevents membrane fusion	2	Viral entry	Miquel/Gemma	https://www.nature.com/articles/s41422-020-0282-0			
cov047	Griffithsin		2	Effective in vitro and in vivo against SARS	2	Viral entry	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/20032190	https://www.ncbi.nlm.nih.gov/pubmed/24145548		
cov048	Resveratrol	C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O	2	In principle inhibits MERS infection...	0	Unknown	Miquel/Gemma	https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-017-2253-8			
cov049	Umifenovir	CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3	4	Used in influenza treatment, only approved in Russia, clinical assays for COVID 19 ongoing	2	Viral entry	Miquel/Gemma	https://pubmed.ncbi.nlm.nih.gov/15266832/			
cov050	Mefloquine	C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O	3	Effective against MERS and SARS in vitro	0	Unknown	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/			
cov051	Amodiaquine	CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O	3	Effective against MERS and SARS in vitro / used in EBOLa	0	Unknown	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136000/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6934550/		
cov052	Ifenprodil (maybe enters clinical trial)	CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3	4	Improves survival of H5N1 infected mice	5	Immunomodulatory	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/31822599			
cov053	TMPRSS2 inhibitor (not disclosed)		2	effectively blocks cell entry of COVID19	2	Viral entry	Miquel/Gemma	https://www.sciencedirect.com/science/article/pii/S0092867420302294			
cov054	6'-Fluorinated Aristeromycin Analog		2	Broad spectrum in vitro against RNA viruses	4	RNA transcription or replication	Miquel/Gemma	https://pubs.acs.org/doi/10.1021/acs.jmedchem.9b00781			
cov055	Acyclovir Fleximer analogues		2	In vitro effective against MERS	4	RNA transcription or replication	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/26048809			
cov056	Thiopurine analogues		2	In vitro inhibition of MERS PLp	3	Protease inhibitor	Miquel/Gemma	https://www.sciencedirect.com/science/article/pii/S0166354214003623			
cov057	Compound 6		2	In vitro inhibition of MERS PLp	3	Protease inhibitor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/30940566			
cov058	GC376	CC(C)C[C@@H](C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2=CC=CC=C2.[Na+]	2	Cures a coronavirus-like disease in felines	3	Protease inhibitor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/27027316			
cov059	GC813		2	Computer based design of MERS 3CLpro inhibitor	3	Protease inhibitor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5891363/			
cov060	Phenylisoserine inhibitors		2	Computer based design of SARS 3CLpro inhibitor	3	Protease inhibitor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/28454669			
cov061	Peptidomimetic inhibitors		2	Antiviral effect in vitro against SARS and MERS	3	Protease inhibitor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/28216367			
cov062	1,2,3-triazoles		2	Computer based design of SARS 3CLpro inhibitor	3	Protease inhibitor	Miquel/Gemma	https://www.sciencedirect.com/science/article/pii/S0960894X18307509			
cov063	Neuraminidase inhibitor analogues		2	Computer based design of SARS 3CLpro inhibitor	3	Protease inhibitor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/27240464			
cov064	Unsymmetric aromatic disulfides		2	In vitro inhibition of SARS Mpro	3	Protease inhibitor	Miquel/Gemma	https://www.sciencedirect.com/science/article/pii/S0223523417304063			
cov065	Pyrithiobac derivatives		2	In vitro inhibition of SARS Mpro, they derive from herbicides	3	Protease inhibitor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/30784880			
cov066	2,6-Bis-arylmethyloxy-5-hydroxychromones		2	In vitro validation against SARS enzymes	4	RNA transcription or replication	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/21925774			
cov067	SSYA10-001	ON(=O)C1=C(SCC2=NNC(=S)N2CC=C)C=CC=C1	2	In vitro validation against SARS and MERS	4	RNA transcription or replication	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136041/			
cov068	Triazol derivatives		2	FRET against MERS enzyme	4	RNA transcription or replication	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/31955138			
cov069	Nitazoxanide	CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-]	4	Induces interferon production, works in influenza	1	Host factor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/25108173			
cov070	Recombinant interferons		1		5	Immunomodulatory	Miquel/Gemma				
cov071	Cyclosporine A	CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	3	Reduces MERS infection in human in vitro ex vivo	5	Immunomodulatory	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/29772254	https://www.ncbi.nlm.nih.gov/pubmed/23620378		
cov072	Alisporivir	CC[C@H]1C(=O)N([C@@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)C(C)C)CC)C)C	3	Prevents in vitro MERS/SARS infection but not in mouse model	0	Unknown	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/27840112			
cov073	Selumetinib	CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO	2	Inhibits MERS replication in vitro	1	Host factor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/25487801			
cov074	Trametinib	CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5	2	Inhibits MERS replication in vitro	1	Host factor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/25487801			
cov075	Rapamycin	C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC	2	Inhibits MERS replication in vitro	1	Host factor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/25487801			
cov076	Saracatinib	CN1CCN(CC1)CCOC2=CC3=C(C(=C2)OC4CCOCC4)C(=NC=N3)NC5=C(C=CC6=C5OCO6)Cl	2	Inhibits MERS replication in vitro	1	Host factor	Miquel/Gemma	https://www.ncbi.nlm.nih.gov/pubmed/29795047			
cov077	Favipiravir	C1=C(N=C(C(=O)N1)C(=O)N)F	4	Increases 7-day recovery rate in patients with COVID19	4	RNA transcription or replication	Patrick	https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v1	https://www.sciencedirect.com/science/article/pii/S2095809920300631?via%3Dihub		
cov078	Remdesivir	CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4	3	Same Moa than Favipiravir. Effective in mice and cell lines. CLinical trials ongoing	4	RNA transcription or replication	Patrick	https://www.nature.com/articles/s41422-020-0282-0			
cov079	Camostat mesylate	O=C(C1=CC=C(NC(N)=N)C=C1)OC2=CC=C(CC(OCC(N(C)C)=O)=O)C=C2.CS(=O)(O)=O	2	Reduce SARS-Cov2 infection in Calu2 cells.	2	Viral entry	Adria	https://www.cell.com/cell/fulltext/S0092-8674(20)30229-4			
cov080	E-64d	O=[C@@](N[C@H]([C@](NCCC(C)C)=O)CC(C)C)[C@H]1O[C@@H]1C(OCC)=O 	2	Reduce SARS-2-S infection in caco2 and 293T. No data for SARS-Cov2	2	Viral entry	Adria	https://www.cell.com/cell/fulltext/S0092-8674(20)30229-4			
cov111	Ciclesonide	CC(C)C(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)O[C@H](O2)C6CCCCC6	4	very small clinical trial with positive outcome	5	Immunomodulatory	Miquel/Gemma	https://www3.nhk.or.jp/nhkworld/en/news/20200303_20/			
cov112	Lopinavir	CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O	4	HIV drug. Combination of Lopinavir, ritonavir and interferon beta is being evaluated in humans	3	Protease inhibitor	Victor	https://www.nature.com/articles/s41467-019-13940-6	https://www.medrxiv.org/content/10.1101/2020.03.19.20038984v1	https://www.medrxiv.org/content/10.1101/2020.03.28.20045955v1	https://www.medrxiv.org/content/10.1101/2020.03.22.20040832v2
cov116	Tocilizumab		4	inhibitor of the receptor of interleukin 6 (IL-6), a pro-inflammatory cytokine	5	Immunomodulatory	Victor	https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30628-0/fulltext			
cov228	EIDD-2801	CC(C)C(=O)OC[C@H]2O[C@@H](n1ccc(NO)nc1=O)C(O)C2O	3	Clinical trials for Influenza, now considering for COVID	4	RNA transcription or replication	Edu	https://news.emory.edu/stories/2020/03/coronavirus_drive_ridgeback/index.html	https://www.ncbi.nlm.nih.gov/pubmed/31645453		
cov081	Beta-D-N4-hydroxycytidine		2	MoA: lethal mutagenesis, effective in vitro against SARS-Cov2 and in mice against SARS-CoV and MERS *BioArx	4	RNA transcription or replication	Miquel/Gemma	https://www.biorxiv.org/content/10.1101/2020.03.19.997890v1			
